user_id,age,gender,signup_date,last_active_date,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee,tenure_days,is_loyal,country_France,country_Germany,country_India,country_UK,country_USA,country_Unknown,subscription_type_Premium,subscription_type_Standard,subscription_type_Unknown
1001.0,56.0,2,2025-02-04,2025-07-13,42.6,77.4,1.0,0.0,0.0,1.0,10.99,159.0,False,True,False,False,False,False,False,False,True,False
1002.0,69.0,1,2023-02-01,2025-07-13,65.3,98.0,4.0,0.0,1.0,1.0,5.99,893.0,True,False,False,True,False,False,False,False,False,False
1003.0,46.0,1,2022-08-21,2025-07-13,40.1,47.8,0.0,0.0,1.0,1.0,13.99,1057.0,True,False,False,False,True,False,False,True,False,False
1004.0,32.0,2,2023-09-14,2025-07-13,5.8,53.2,1.0,1.0,1.0,1.0,13.99,668.0,True,False,True,False,False,False,False,True,False,False
1005.0,60.0,0,2023-07-29,2025-07-13,32.7,16.8,5.0,0.0,1.0,0.0,9.99,715.0,True,False,False,True,False,False,False,False,True,False
1006.0,25.0,1,2023-06-25,2025-07-13,40.0,24.7,1.0,0.0,1.0,0.0,13.99,749.0,True,False,False,False,False,True,False,True,False,False
1007.0,38.0,1,2023-02-15,2025-07-13,57.8,83.9,0.0,0.0,1.0,0.0,14.99,879.0,True,False,False,False,True,False,False,True,False,False
1008.0,56.0,1,2022-12-20,2025-07-13,9.0,35.6,5.0,0.0,1.0,0.0,14.99,936.0,True,False,True,False,False,False,False,True,False,False
1009.0,36.0,2,2025-05-30,2025-07-13,11.6,82.7,1.0,0.0,1.0,0.0,9.99,44.0,False,False,False,False,True,False,False,False,True,False
1010.0,40.0,1,2024-07-11,2025-07-13,21.5,70.9,5.0,1.0,1.0,0.0,6.99,367.0,True,True,False,False,False,False,False,False,False,False
1011.0,28.0,2,2022-11-26,2025-07-13,21.7,17.7,0.0,0.0,0.0,0.0,9.99,960.0,True,False,False,False,False,True,False,False,True,False
1012.0,28.0,2,2025-01-16,2025-07-13,58.7,50.7,0.0,1.0,1.0,0.0,5.99,178.0,False,True,False,False,False,False,False,False,False,False
1013.0,41.0,2,2024-04-29,2025-07-13,20.4,67.7,5.0,1.0,1.0,0.0,14.99,440.0,True,True,False,False,False,False,False,True,False,False
1014.0,53.0,1,2022-01-09,2025-07-13,50.8,23.5,2.0,0.0,1.0,0.0,13.99,1281.0,True,False,False,False,False,False,False,True,False,False
1015.0,57.0,2,2022-08-29,2025-07-13,39.8,83.1,3.0,1.0,0.0,0.0,5.99,1049.0,True,False,False,False,True,False,False,False,False,False
1016.0,41.0,0,2022-06-12,2025-07-13,46.1,54.5,1.0,1.0,0.0,0.0,9.99,1127.0,True,False,False,False,True,False,False,False,True,False
1017.0,20.0,1,2023-06-18,2025-07-13,67.1,16.5,1.0,0.0,0.0,0.0,10.99,756.0,True,False,False,True,False,False,False,False,True,False
1018.0,39.0,1,2023-10-07,2025-07-13,32.6,58.3,2.0,1.0,1.0,0.0,9.99,645.0,True,False,False,False,False,True,False,False,True,False
1019.0,19.0,1,2024-06-09,2025-07-13,61.8,100.0,2.0,0.0,0.0,0.0,5.99,399.0,True,False,False,False,False,True,False,False,False,False
1020.0,41.0,1,2025-03-02,2025-07-13,34.1,15.1,2.0,0.0,1.0,0.0,13.99,133.0,False,False,False,False,False,False,False,True,False,False
1021.0,61.0,1,2022-08-24,2025-07-13,28.6,81.7,4.0,1.0,1.0,0.0,13.99,1054.0,True,False,False,False,False,True,False,True,False,False
1022.0,47.0,2,2024-01-12,2025-07-13,76.7,20.7,4.0,1.0,1.0,0.0,9.99,548.0,True,False,False,False,True,False,False,True,False,False
1023.0,55.0,2,2023-05-18,2025-07-13,15.2,78.2,5.0,0.0,1.0,0.0,5.99,787.0,True,False,False,False,False,False,False,False,False,False
1024.0,19.0,1,2025-04-18,2025-07-13,7.7,73.5,4.0,1.0,0.0,0.0,13.99,86.0,False,False,False,False,False,True,False,True,False,False
1025.0,38.0,2,2025-07-07,2025-07-13,61.8,30.0,0.0,0.0,1.0,0.0,13.99,6.0,False,False,False,False,False,False,False,True,False,False
1026.0,50.0,1,2024-06-11,2025-07-13,5.9,32.6,5.0,1.0,0.0,0.0,9.99,397.0,True,False,False,False,False,True,False,False,True,False
1027.0,29.0,2,2024-04-25,2025-07-13,67.0,79.3,1.0,1.0,1.0,0.0,13.99,444.0,True,False,False,False,False,True,False,True,False,False
1028.0,39.0,2,2023-06-21,2025-07-13,35.3,46.1,3.0,1.0,0.0,0.0,9.99,753.0,True,False,False,True,False,False,False,False,True,False
1029.0,61.0,2,2024-10-06,2025-07-13,73.3,73.1,0.0,0.0,0.0,1.0,5.99,280.0,True,False,False,False,False,True,False,False,False,False
1030.0,42.0,2,2025-01-14,2025-07-13,57.9,14.8,1.0,0.0,0.0,0.0,9.99,180.0,False,False,False,False,False,False,False,False,True,False
1031.0,66.0,0,2023-09-19,2025-07-13,49.0,85.3,1.0,1.0,1.0,1.0,13.99,663.0,True,False,False,False,True,False,False,True,False,False
1032.0,44.0,1,2022-07-24,2025-07-13,76.0,71.1,5.0,0.0,0.0,0.0,13.99,1085.0,True,False,False,True,False,False,False,True,False,False
1033.0,59.0,0,2023-03-19,2025-07-13,32.0,90.7,2.0,1.0,1.0,0.0,10.99,847.0,True,False,False,False,False,True,False,False,True,False
1034.0,45.0,2,2025-02-07,2025-07-13,76.3,13.2,2.0,0.0,1.0,0.0,13.99,156.0,False,False,False,False,False,True,False,True,False,False
1035.0,33.0,0,2024-04-30,2025-07-13,11.2,59.3,0.0,1.0,0.0,0.0,10.99,439.0,True,False,False,False,False,False,False,False,True,False
1036.0,32.0,1,2023-12-24,2025-07-13,39.0,59.9,2.0,1.0,1.0,0.0,13.99,567.0,True,False,False,True,False,False,False,True,False,False
1037.0,64.0,1,2023-09-18,2025-07-13,22.0,35.3,1.0,1.0,1.0,0.0,9.99,664.0,True,False,False,False,False,True,False,False,True,False
1038.0,68.0,2,2023-12-03,2025-07-13,43.4,45.8,2.0,0.0,1.0,0.0,9.99,588.0,True,False,False,False,True,False,False,False,True,False
1039.0,61.0,0,2023-06-13,2025-07-13,13.4,3.8,4.0,1.0,1.0,0.0,5.99,761.0,True,True,False,False,False,False,False,False,False,False
1040.0,69.0,0,2023-12-18,2025-07-13,67.4,74.6,2.0,1.0,1.0,0.0,10.99,573.0,True,False,False,False,True,False,False,False,True,False
1041.0,20.0,0,2022-12-19,2025-07-13,67.8,54.9,1.0,0.0,0.0,0.0,9.99,937.0,True,False,False,False,False,True,False,False,True,False
